(Brazzaville) ;;Country;Subject Descriptor;Units;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
India ;Guyana;China;Gross domestic product, constant prices;Percent change;7,91;5,243;9,057;10,853;15,176;13,466;8,846;11,583;11,281;4,063;3,839;9,179;14,3;13,9;13,081;11;9,9;9,2;7,833;7,62;8,431;8,3;9,082;10,025;10,085;11,31;12,677;14,162;9,635;9,2;10,6;9,5;7,748;7,685;7,3;6,813;6,3;6;6,1;6,333;6,333
Indonesia;Haiti;China;Population;Persons;987,05;1000,72;1016,54;1030,08;1043,57;1058,51;1075,07;1093;1110,26;1127,04;1143,33;1158,23;1171,71;1185,17;1198,5;1211,21;1223,89;1236,26;1247,61;1257,86;1267,43;1276,27;1284,53;1292,27;1299,88;1307,56;1314,48;1321,29;1328,02;1334,5;1340,91;1347,35;1354,04;1360,72;1367,82;1374,957;1382,131;1389,343;1396,592;1403,88;1411,205
Iran ;Honduras;Colombia;Gross domestic product, constant prices;Percent change;4,429;2,277;0,948;1,574;3,351;3,107;5,824;5,369;4,064;3,414;4,282;2,372;4,353;5,71;5,147;5,202;2,056;3,43;0,57;-4,204;2,925;1,678;2,504;3,918;5,333;4,707;6,698;6,901;3,547;1,652;3,972;6,59;4,044;4,936;4,553;2,498;2,772;3,213;3,574;3,906;4,083
Iraq ;Hong Kong SAR;Colombia;Population;Persons;28,447;29,08;29,718;30,36;31,004;30,794;31,433;32,092;32,764;33,443;34,125;34,834;35,53;36,208;36,863;37,49;38,1;38,6;39,2;39,7;40,296;40,814;41,329;41,849;42,368;42,889;43,406;43,927;44,451;44,979;45,51;46,045;46,582;47,121;47,662;48,209;48,763;49,323;49,889;50,462;51,041
Ireland ;Hungary;Comoros;Gross domestic product, constant prices;Percent change;7,383;5,462;4,058;3,093;4,167;2;2;1,638;2,688;-3,181;5,094;-5,398;8,531;3,006;-5,277;3,61;-1,34;4,216;1,153;1,924;1,417;3,329;4,15;2,474;-0,239;4,23;1,242;0,492;0,975;1,81;2,051;2,227;2,961;3,518;1,95;1,034;2,157;3,329;3,98;4;4
Is. Slovenia ;Iceland;Comoros;Population;Persons;0,353;0,362;0,371;0,379;0,383;0,395;0,408;0,421;0,435;0,449;0,462;0,447;0,457;0,466;0,476;0,486;0,497;0,507;0,518;0,529;0,54;0,552;0,564;0,576;0,593;0,6;0,613;0,631;0,65;0,67;0,69;0,71;0,732;0,754;0,776;0,799;0,823;0,848;0,874;0,9;0,927
Israel ;India;Democratic Republic of the Congo;Gross domestic product, constant prices;Percent change;2,405;0,945;-0,454;1,41;4,844;0,464;4,72;2,671;0,465;-1,26;-6,568;-8,445;-10,462;-13,468;-6,144;2,762;-1,935;-7,84;-3,875;-3,802;-8,136;-2,1;2,948;5,578;6,738;6,135;5,321;6,256;6,23;2,855;7,108;6,874;7,088;8,482;9,17;8,441;7,3;6,8;6,2;6,5;5,2
Italy ;Indonesia;Democratic Republic of the Congo;Population;Persons;28,712;29,659;30,638;31,649;32,693;33,772;34,887;36,038;37,227;38,456;39,725;41,036;42,39;43,789;45,234;46,726;47,912;48,924;49,902;50,9;52,427;54;55,62;57,289;59,007;60,777;62,601;64,479;66,413;68,406;70,458;72,571;74,749;76,991;79,301;81,68;84,13;86,654;89,254;91,931;94,689
Ivory Coast ;Islamic Republic of Iran;Republic of Congo;Gross domestic product, constant prices;Percent change;12,678;2,613;2,41;2,393;2,375;2,359;2,343;2,327;21,908;21,269;1,003;2,395;2,612;-0,98;-5,493;3,985;4,29;-0,625;3,738;-2,582;7,576;3,803;4,582;0,813;3,477;7,756;6,236;-1,582;5,572;7,469;8,743;3,41;3,813;3,322;6,849;0,988;6,471;6,985;3,251;-1,671;0,393
Jamaica ;Iraq;Republic of Congo;Population;Persons;1,597;1,647;1,698;1,75;1,804;1,86;1,917;1,976;2,037;2,165;2,232;2,3;2,371;2,443;2,516;2,59;2,59;2,665;2,742;2,822;2,904;2,988;3,075;3,164;3,256;3,35;3,447;3,547;3,65;3,756;3,865;3,977;4,092;4,182;4,274;4,368;4,46;4,554;4,65;4,748;4,848
Japan ;Ireland;Costa Rica;Gross domestic product, constant prices;Percent change;0,752;-2,26;-7,285;2,859;8,028;0,722;5,536;4,765;3,432;5,666;3,6;2,263;9,152;7,414;4,73;3,921;0,887;5,578;8,398;8,222;1,801;1,076;2,902;6,405;4,259;5,886;8,78;7,935;2,732;-1,016;4,954;4,518;5,168;3,437;3,502;3;4;4,6;4,94;4,7;4,3
Jordan ;Israel;Costa Rica;Population;Persons;2,302;2,372;2,443;2,514;2,588;2,666;2,746;2,824;2,901;2,977;3,051;3,122;3,191;3,275;3,373;3,47;3,565;3,657;3,747;3,838;3,81;3,953;4,022;4,086;4,152;4,215;4,279;4,34;4,404;4,469;4,534;4,592;4,652;4,713;4,775;4,837;4,9;4,964;5,029;5,094;5,161
Kazakhstan;Italy;Côte d'Ivoire;Gross domestic product, constant prices;Percent change;5,196;3,498;0,2;-2,5;-2;3,6;4,8;-0,5;1,14;2,95;-1,09;0,04;-0,25;12,986;0,171;5,572;8,136;5,723;4,931;1,618;-2,068;0,121;-1,668;-1,36;1,232;1,721;1,516;1,765;2,543;3,251;2,018;-4,387;10,674;8,7;7,915;8,234;7,625;7,37;7,12;6,919;6,8
Kenya ;Jamaica;Côte d'Ivoire;Population;Persons;7,993;8,175;8,492;8,924;9,173;9,528;9,902;10,286;10,382;10,804;11,246;11,697;12,157;13,358;13,758;14,158;14,56;14,938;15,326;15,725;16,134;16,553;16,984;17,425;17,878;18,343;18,82;19,309;19,811;20,327;20,855;21,397;21,954;22,524;23,11;23,711;24,327;24,96;25,609;26,275;26,958
Kosovo ;Japan;Croatia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-8;5,9;6,634;5,836;5,362;2,523;-0,86;4,179;3,435;5,246;5,558;4,083;4,164;4,785;5,15;2,054;-7,384;-1,702;-0,281;-2,188;-1,064;-0,361;0,811;0,99;1,66;2,05;1,98;1,81
Kuwait ;Jordan;Croatia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;4,73;4,624;4,524;4,453;4,494;4,572;4,501;4,554;4,381;4,305;4,305;4,306;4,311;4,312;4,314;4,312;4,31;4,303;4,29;4,281;4,268;4,256;4,236;4,236;4,236;4,236;4,236;4,236;4,236
Kyrgyzstan ;Kazakhstan;Cyprus;Gross domestic product, constant prices;Percent change;5,92;3,051;6,279;5,307;8,837;4,746;3,583;7,139;8,317;8,088;7,405;0,74;9,365;0,701;5,899;9,924;1,625;2,403;5,091;4,686;5,674;3,575;3,221;2,788;4,379;3,864;4,517;4,893;3,621;-2,043;1,391;0,261;-2,385;-5,357;-2,255;0,452;1,411;1,993;2,204;2,125;1,827
Laos ;Kenya;Cyprus;Population;Persons;0,517;0,524;0,53;0,537;0,544;0,55;0,557;0,563;0,569;0,577;0,589;0,605;0,621;0,636;0,65;0,656;0,666;0,675;0,683;0,691;0,698;0,706;0,714;0,723;0,733;0,744;0,758;0,776;0,797;0,819;0,84;0,862;0,872;0,881;0,891;0,9;0,909;0,918;0,926;0,934;0,941
Latvia ;Kiribati;Czech Republic;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;4,283;-0,674;-0,316;1,438;4,294;3,052;1,647;3,602;4,947;6,442;6,877;5,529;2,711;-4,842;2,295;1,967;-0,9;-0,528;1,978;3,911;2,551;2,609;2,178;2,165;2,176
Lebanon ;Korea;Czech Republic;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;10,333;10,321;10,309;10,299;10,29;10,278;10,232;10,201;10,193;10,195;10,199;10,224;10,254;10,343;10,426;10,462;10,487;10,505;10,516;10,512;10,529;10,543;10,555;10,564;10,571;10,578
Leone ;Kosovo;Denmark;Gross domestic product, constant prices;Percent change;-0,484;-0,658;3,675;2,601;4,168;4,001;4,905;0,254;-0,016;0,649;1,471;1,396;1,958;0,008;5,332;3,033;2,895;3,264;2,218;2,946;3,752;0,822;0,467;0,388;2,642;2,431;3,8;0,821;-0,713;-5,089;1,622;1,156;-0,654;-0,487;1,084;1,585;1,959;2,081;2,182;2,188;2,227
Lesotho ;Kuwait;Denmark;Population;Persons;5,122;5,124;5,119;5,116;5,112;5,111;5,116;5,125;5,129;5,13;5,135;5,146;5,162;5,181;5,197;5,216;5,251;5,275;5,295;5,314;5,33;5,349;5,368;5,384;5,398;5,411;5,427;5,447;5,476;5,511;5,535;5,561;5,581;5,603;5,617;5,66;5,648;5,666;5,684;5,702;5,72
Liberia ;Kyrgyz Republic;Djibouti;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0,01;-6,655;-0,942;-3,488;-4,115;-0,746;0,099;3;0,417;1,793;3,234;3,186;2,779;3,111;4,763;5,079;5,806;5,031;3,487;4,467;4,842;5,001;6;6,5;7;7,1;7,1;7;6
Libya ;Lao P.D.R.;Djibouti;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0,498;0,512;0,526;0,541;0,556;0,571;0,587;0,604;0,621;0,638;0,656;0,674;0,693;0,713;0,733;0,753;0,774;0,796;0,818;0,841;0,865;0,889;0,914;0,939;0,966;0,993;1,02;1,049;1,078;1,109
Lithuania ;Latvia;Dominica;Gross domestic product, constant prices;Percent change;13,383;10,829;4,128;2,556;4,197;1,421;7,073;6,308;7,817;-0,191;5,419;1,346;2,03;2,162;0,034;3,03;3,105;2,185;3,774;0,355;2,34;-0,063;-2,829;6,353;3,051;0,656;4,659;6,354;7,121;-1,17;0,673;-0,063;-1,255;0,594;3,881;2,8;3,262;1,799;1,909;1,851;1,852
Luxembourg ;Lebanon;Dominica;Population;Persons;n/a;0,074;0,074;0,073;0,073;0,073;0,072;0,072;0,072;0,072;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071;0,071
Macedonia ;Lesotho;Dominican Republic;Gross domestic product, constant prices;Percent change;7,969;4,279;1,7;4,628;1,253;-2,123;3,522;10,117;2,156;4,401;-5,454;0,945;5,563;7,223;2,309;5,502;7,14;8,02;6,991;6,701;5,648;1,791;5,776;-0,252;1,304;9,222;10,657;8,48;3,144;0,936;8,302;2,821;2,63;4,778;7,341;5,5;4,5;4;4;4;4
Madagascar ;Liberia;Dominican Republic;Population;Persons;5,652;5,781;5,916;6,056;6,202;6,353;6,509;6,669;6,828;6,979;7,118;7,242;7,375;7,511;7,642;7,771;7,897;8,023;8,152;8,276;8,398;8,513;8,628;8,745;8,858;8,968;9,071;9,174;9,28;9,38;9,479;9,58;9,681;9,785;9,883;9,99;10,098;10,208;10,318;10,43;10,542
Malawi ;Libya;Ecuador;Gross domestic product, constant prices;Percent change;4,9;3,9;1,2;-2,8;4,2;4,4;3,094;-5,972;10,486;0,285;3,008;5,113;3,614;2;4,258;2,253;1,732;4,328;3,267;-4,739;1,092;4,016;4,097;2,723;8,211;5,291;4,404;2,19;6,357;0,566;3,525;7,868;5,22;4,642;3,802;-0,615;0,058;0,606;1,242;1,503;1,839
Malaysia ;Lithuania;Ecuador;Population;Persons;8,03;8,261;8,495;8,733;8,971;9,211;9,451;9,691;9,944;10,189;10,43;10,671;10,912;11,15;11,38;11,598;11,798;11,987;12,168;12,347;12,531;12,815;13,094;13,32;13,552;13,721;13,965;14,215;14,473;14,738;15,012;15,266;15,521;15,775;16,027;16,279;16,529;16,777;17,023;17,268;17,511
Mali ;Luxembourg;Egypt;Gross domestic product, constant prices;Percent change;3,409;2,198;7,296;8,876;8,021;7,425;4,759;4,273;3,994;2,993;2,35;2,1;0,3;2,9;4,188;4,484;4,879;5,919;7,543;6,11;5,383;3,524;3,186;3,193;4,092;4,472;6,844;7,088;7,156;4,674;5,147;1,765;2,226;2,098;2,163;4,194;4,26;4,476;4,684;4,957;5,033
Mauritania ;FYR Macedonia;Egypt;Population;Persons;40,554;41,706;42,846;44,015;45,237;46,545;47,751;48,8;49,8;50,9;51,36;52,423;53,508;54,615;55,746;56,9;58,2;59,4;60,7;62;63,771;65,182;66,531;67,908;69,313;70,748;72,212;73,644;75,229;76,925;78,728;80,4;82,4;84,7;86,7;88,434;90,203;92,007;93,847;95,724;97,638
Mexico ;Madagascar;El Salvador;Gross domestic product, constant prices;Percent change;-8,625;-5,725;-6,306;1,535;1,337;0,616;0,19;2,513;1,878;0,962;4,831;3,576;7,543;7,37;6,05;6,397;1,706;4,246;3,749;3,449;2,153;1,709;2,341;2,3;1,851;3,563;3,912;3,84;1,274;-3,133;1,365;2,217;1,881;1,847;1,952;2,3;2,5;2,6;2,3;2;2
Moldova ;Malawi;El Salvador;Population;Persons;4,792;4,847;4,885;4,914;4,944;4,984;5,034;5,095;5,167;5,249;5,34;5,43;5,51;5,6;5,68;5,75;5,81;5,86;5,9;5,93;5,96;5,99;6,01;6,03;6,05;6,07;6,1;6,12;6,15;6,18;6,22;6,26;6,3;6,325;6,352;6,377;6,403;6,429;6,455;6,482;6,508
Mongolia ;Malaysia;Equatorial Guinea;Gross domestic product, constant prices;Percent change;4,839;5,769;2,202;5,004;1,011;12,905;-2,331;4,437;2,655;-1,229;2,537;-1,245;33,002;10,461;16,808;17,236;64,566;147,673;23,774;25,664;95,34;66,314;19,684;13,865;37,637;8,253;-3,164;12,253;9,908;-4,535;-3,825;1,939;5,76;-6,513;-0,304;-10,235;-0,773;-2,97;-2,417;-2,16;-1,841
Montenegro ;Maldives;Equatorial Guinea;Population;Persons;0,219;0,235;0,251;0,272;0,294;0,313;0,328;0,341;0,352;0,362;0,374;0,386;0,4;0,413;0,428;0,442;0,456;0,471;0,487;0,502;0,518;0,535;0,551;0,569;0,586;0,604;0,622;0,64;0,658;0,677;0,696;0,716;0,736;0,757;0,778;0,799;0,821;0,843;0,865;0,887;0,91
Morocco ;Mali;Eritrea;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;12,882;12,882;20,918;2,325;9,136;7,9;1,966;0,187;-12,355;8,755;3,005;-2,656;1,452;-0,969;1,427;-9,783;3,877;2,194;8,678;7,02;1,331;1,701;0,247;2,235;3,389;3,539;3,66;3,764
Mozambique ;Malta;Eritrea;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3,427;3,422;3,426;3,453;3,507;3,583;3,683;3,802;3,939;4,102;4,282;4,473;4,666;4,854;5,035;5,21;5,382;5,558;5,741;5,93;6,126;6,328;6,537;6,752;6,975;7,205;7,442;7,688;7,941
Myanmar ;Marshall Islands;Estonia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-1,642;2,155;5,324;11,799;4,117;-0,856;10,568;6,329;6,076;7,416;6,295;9,374;10,272;7,748;-5,419;-14,724;2,463;7,583;5,183;1,568;2,906;1,979;2,874;2,963;3,199;3,287;3,414
N. Cyprus ;Mauritania;Estonia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,511;1,477;1,448;1,425;1,406;1,393;1,379;1,372;1,367;1,361;1,356;1,351;1,348;1,345;1,342;1,341;1,34;1,34;1,34;1,294;1,286;1,319;1,316;1,313;1,309;1,305;1,301;1,297
N. Korea ;Mauritius;Ethiopia;Gross domestic product, constant prices;Percent change;3,997;--;0,961;7,845;-2,305;-11,413;9,693;13,87;0,574;-0,457;2,602;-7,218;-8,907;13,363;3,486;6,121;13,533;2,84;-4,185;6,294;9,838;7,418;1,634;-2,099;11,729;12,644;11,539;11,795;11,187;10,041;10,567;11,386;8,7;9,821;10,347;8,667;8,096;7,63;7,549;7,499;7,496
Namibia ;Mexico;Ethiopia;Population;Persons;34,32;35,148;36,151;37,294;38,52;39,786;41,084;42,424;43,815;45,273;46,807;48,42;50,096;51,812;53,531;55,23;56,898;58,544;60,179;61,826;63,5;65,405;67,22;71,342;73,197;75,1;77,053;79,056;80,321;81,606;82,912;84,238;85,586;86,955;88,347;89,76;91,196;92,656;94,138;95,644;97,175
Nepal ;Micronesia;Fiji;Gross domestic product, constant prices;Percent change;-1,694;6,004;-1,092;-4,212;10,107;-3,774;6,596;-7,194;3,462;13,888;5,802;-2,708;6,107;2,605;5,089;4,915;4,741;-2,261;1,227;9,211;-1,78;1,97;3,154;0,996;5,456;2,5;1,856;-0,86;1,032;-1,386;2,955;2,705;1,83;4,629;5,301;4,3;3,668;3,544;3,615;3,687;3,7
Netherlands ;Moldova;Fiji;Population;Persons;0,634;0,649;0,666;0,683;0,698;0,709;0,715;0,718;0,719;0,724;0,728;0,735;0,744;0,755;0,766;0,776;0,785;0,793;0,801;0,807;0,812;0,815;0,816;0,817;0,819;0,822;0,828;0,835;0,844;0,852;0,861;0,868;0,875;0,881;0,885;0,89;0,894;0,899;0,903;0,908;0,912
New Caledonia ;Mongolia;Finland;Gross domestic product, constant prices;Percent change;5,116;1,27;3,025;2,948;3,043;3,28;2,628;3,557;5,102;5,415;-1,371;-5,916;-3,325;-0,734;3,94;4,206;3,658;6,253;5,428;4,444;5,635;2,581;1,68;1,994;3,926;2,781;4,055;5,185;0,721;-8,269;2,992;2,571;-1,426;-1,121;-0,405;0,396;0,863;1,175;1,262;1,44;1,576
New Guinea;Montenegro;Finland;Population;Persons;4,771;4,788;4,812;4,842;4,87;4,894;4,911;4,926;4,939;4,954;4,974;4,998;5,029;5,055;5,078;5,099;5,117;5,132;5,147;5,16;5,171;5,181;5,195;5,206;5,22;5,237;5,256;5,277;5,3;5,326;5,351;5,375;5,401;5,427;5,451;5,472;5,5;5,527;5,556;5,584;5,612
New Zealand ;Morocco;France;Gross domestic product, constant prices;Percent change;1,809;1,078;2,509;1,256;1,524;1,623;2,351;2,577;4,734;4,353;2,914;1,039;1,6;-0,613;2,345;2,085;1,388;2,337;3,556;3,407;3,875;1,954;1,118;0,82;2,786;1,608;2,375;2,361;0,195;-2,941;1,966;2,079;0,183;0,656;0,18;1,16;1,46;1,648;1,737;1,856;1,855
Nicaragua ;Mozambique;France;Population;Persons;53,731;54,029;54,335;54,65;54,895;55,157;55,411;55,682;55,966;56,27;56,577;56,841;57,111;57,369;57,565;57,753;57,936;58,116;58,299;58,497;58,858;59,267;59,686;60,102;60,505;60,963;61,4;61,795;62,135;62,466;62,765;63,07;63,376;63,652;63,92;64,213;64,507;64,802;65,099;65,398;65,699
Niger ;Myanmar;Gabon;Gross domestic product, constant prices;Percent change;--;-4;4,1;2;4,9;5,8;-2,1;-15,4;3,5;15,431;5,147;6,124;-3,087;3,947;3,713;4,974;3,625;5,738;3,478;-8,943;-1,883;2,15;1,83;1,701;1,12;-0,786;-1,908;6,333;1,733;-2,279;6,27;7,092;5,251;5,638;4,315;3,533;4,937;5,104;5,267;5,303;5,477
Nigeria ;Namibia;Gabon;Population;Persons;0,748;0,765;0,781;0,799;0,816;0,834;0,852;0,871;0,89;0,91;0,93;0,96;0,99;1,014;1,039;1,065;1,092;1,119;1,147;1,176;1,205;1,235;1,266;1,298;1,33;1,364;1,398;1,433;1,454;1,475;1,496;1,518;1,541;1,563;1,586;1,608;1,631;1,654;1,677;1,699;1,721
Norway ;Nepal;The Gambia;Gross domestic product, constant prices;Percent change;0,705;-9,523;20,759;13,518;-7,62;3,649;2,364;2,8;1,702;4,331;5,696;2,163;1,763;3,833;-3,398;3,32;2,906;1,417;6,5;6,399;5,525;5,753;-3,247;6,874;7,046;-0,942;1,124;3,631;5,735;6,45;6,526;-4,295;5,6;4,789;-0,219;4,676;5,513;7,048;5,882;5,882;5,882
Oman ;Netherlands;The Gambia;Population;Persons;0,596;0,633;0,657;0,683;0,711;0,74;0,77;0,802;0,834;0,869;0,904;0,941;0,98;1,037;1,073;1,106;1,139;1,191;1,225;1,26;1,297;1,336;1,376;1,418;1,46;1,504;1,547;1,591;1,636;1,682;1,728;1,776;1,825;1,876;1,927;1,98;2,035;2,091;2,149;2,208;2,269
Pakistan ;New Zealand;Georgia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2,6;10,5;10,566;2,878;2,96;1,937;4,788;5,515;11,054;5,857;9,6;9,383;12,58;2,613;-3,741;6,201;7,185;6,401;3,32;4,766;1,977;2,96;4,951;4,999;4,97;4,97
Panama ;Nicaragua;Georgia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;4,93;4,794;4,675;4,558;4,505;4,47;4,435;4,401;4,372;4,318;4,265;4,211;4,158;4,104;4,051;3,997;3,944;3,89;3,837;3,783;3,73;3,697;3,678;3,671;3,671;3,672;3,67
Papua ;Niger;Germany;Gross domestic product, constant prices;Percent change;1,272;0,11;-0,788;1,555;2,826;2,192;2,417;1,469;3,736;3,913;5,723;5,011;1,508;-0,979;2,527;1,815;0,859;1,902;1,776;1,845;3,194;1,843;0,016;-0,733;0,703;0,878;3,879;3,383;0,805;-5,565;3,945;3,718;0,613;0,406;1,58;1,509;1,573;1,51;1,295;1,295;1,269
Paraguay ;Nigeria;Germany;Population;Persons;77,132;77,278;77,223;76,953;76,643;76,453;76,506;76,52;76,986;77,755;79,246;80,275;80,975;81,338;81,539;81,817;82,012;82,057;82,037;82,163;82,26;82,44;82,537;82,532;82,501;82,438;82,315;82,218;82,002;81,802;81,752;80,328;80,524;80,767;81,1;81,687;81,921;82,099;82,221;82,287;82,295
Peru ;Norway;Ghana;Gross domestic product, constant prices;Percent change;0,453;5,181;-5,038;-3,458;8,301;5,842;4,325;5,862;9,377;4,601;3,34;5,036;4,084;4,666;3,471;4,05;4,54;5,226;5,107;4,687;4,188;4,497;4,654;5,112;5,315;6,023;6,125;4,494;9,316;5,785;7,897;14,025;8,022;7,313;3,985;3,494;5,69;9,429;7,338;5,085;3,634
Philippines ;Oman;Ghana;Population;Persons;10,015;10,542;11,097;11,681;12,296;12,61;12,933;13,263;13,602;13,95;14,306;14,672;15,046;15,431;15,825;16,23;16,644;17,07;17,506;17,953;18,412;18,883;19,366;19,861;20,368;20,889;21,423;21,97;22,532;23,108;23,699;24,304;24,926;25,563;26,216;26,886;27,573;28,278;29,001;29,742;30,503
Poland ;Pakistan;Greece;Gross domestic product, constant prices;Percent change;0,677;-1,554;-1,133;-1,079;2,011;2,51;0,518;-2,259;4,288;3,8;0;3,1;0,7;-1,6;2;2,1;2,955;4,463;4,058;3,074;3,967;3,737;3,162;6,638;4,952;0,891;5,815;3,538;-0,444;-4,395;-5,449;-8,864;-6,572;-3,895;0,774;-2,267;-1,297;2,7;3,125;2,822;2,422
Portugal ;Palau;Greece;Population;Persons;9,643;9,728;9,795;9,848;9,893;9,934;9,972;10,007;10,044;10,094;10,161;10,247;10,35;10,462;10,572;10,672;10,758;10,745;10,808;10,861;10,904;10,935;10,969;10,999;11,038;11,074;11,112;11,144;11,182;11,191;11,184;11,123;11,123;11,063;10,993;10,929;10,875;10,82;10,766;10,712;10,659
Puerto Rico ;Panama;Grenada;Gross domestic product, constant prices;Percent change;0,051;0,878;4,549;2,658;4,884;7,691;8,572;10,768;3,213;6,012;5,208;2,57;-0,012;-2,356;3,004;2,726;4,564;5,173;12,804;7,617;6,223;-2,024;3,437;9,464;-0,647;13,273;-3,993;6,123;0,948;-6,614;-0,511;0,765;-1,155;2,336;5,701;3,429;2,429;2,398;2,498;2,498;2,498
Qatar ;Papua New Guinea;Grenada;Population;Persons;0,089;0,091;0,093;0,096;0,098;0,1;0,1;0,099;0,098;0,097;0,096;0,096;0,097;0,098;0,099;0,1;0,101;0,101;0,101;0,101;0,102;0,102;0,102;0,102;0,103;0,103;0,103;0,104;0,104;0,104;0,105;0,105;0,105;0,106;0,106;0,107;0,107;0,108;0,108;0,108;0,109
Rep. Chile ;Paraguay;Guatemala;Gross domestic product, constant prices;Percent change;3,7;0,644;-3,542;-2,528;0,51;-0,6;0,1;3,579;3,892;3,943;3,101;3;4,6;3,4;3,5;4,4;2,8;4,1;4,6;3,7;2,5;2,4;3,867;2,531;3,152;3,26;5,38;6,304;3,281;0,526;2,869;4,162;2,97;3,698;4,242;3,8;3,7;3,6;3,5;3,5;3,5
Romania ;Peru;Guatemala;Population;Persons;6,936;7,112;7,293;7,479;7,671;7,868;8,069;8,275;8,485;8,697;8,91;9,119;9,334;9,554;9,779;10,007;10,238;10,474;10,716;10,968;11,231;11,506;11,793;12,091;12,397;12,71;13,029;13,354;13,686;14,027;14,377;14,736;15,105;15,482;15,87;16,266;16,673;17,09;17,517;17,955;18,404
Russia;Philippines;Guinea;Gross domestic product, constant prices;Percent change;2,601;0,61;1,8;1,3;1,4;5;3,114;3,3;6,308;4,003;4,324;1,455;3,273;5,048;4,001;4,68;4,462;5,182;3,644;3,812;2,503;3,658;5,165;1,249;2,34;2,997;2,497;1,758;4,937;-0,28;1,936;3,909;3,814;2,305;1,062;-0,002;4,892;5,893;5,268;4,111;7,489
Rwanda ;Poland;Guinea;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;6,02;6,352;6,734;7,136;7,514;7,837;8,095;8,296;8,457;8,601;8,746;8,895;9,046;9,205;9,38;9,576;9,799;10,047;10,315;10,593;10,876;11,162;11,451;11,745;12,039;12,34;12,648;12,964;13,289;13,621;13,961
S. Korea ;Portugal;Guinea-Bissau;Gross domestic product, constant prices;Percent change;n/a;-0,498;4,2;-3,4;5,5;4,3;-1;5,6;1,958;2,925;4,58;7,305;3,095;2,276;2,963;4,016;3,747;5,994;-20,486;16,147;-0,199;2,189;-0,985;0,569;2,761;4,266;2,31;3,204;3,208;3,314;4,409;9,355;-1,798;0,82;2,541;4,7;4,8;5;5;5;5
Saudi Arabia ;Qatar;Guinea-Bissau;Population;Persons;0,829;0,847;0,864;0,883;0,901;0,92;0,939;0,958;0,977;0,997;1,017;1,037;1,059;1,081;1,103;1,125;1,148;1,171;1,194;1,217;1,273;1,302;1,331;1,361;1,391;1,422;1,453;1,484;1,517;1,551;1,587;1,624;1,661;1,699;1,738;1,777;1,818;1,859;1,901;1,945;1,989
Senegal ;Romania;Guyana;Gross domestic product, constant prices;Percent change;-2,076;0,562;-8,884;-11,497;2,134;0,366;-0,234;-0,13;-5,981;-4,944;-3,01;6,026;7,758;8,201;8,482;5,055;7,956;6,185;-1,707;2,986;-1,345;2,26;1,149;-0,652;1,566;-1,942;5,127;7,02;1,977;3,319;4,371;5,437;4,816;5,222;3,828;3,245;4,934;4,073;3,989;3,175;3,184
Serbia ;Russia;Guyana;Population;Persons;0,778;0,787;0,805;0,757;0,757;0,757;0,757;0,757;0,757;0,757;0,751;0,724;0,739;0,747;0,764;0,773;0,778;0,779;0,777;0,781;0,743;0,744;0,751;0,754;0,756;0,759;0,762;0,763;0,766;0,77;0,778;0,79;0,796;0,8;0,8;0,802;0,804;0,807;0,809;0,812;0,814
